uid,gender,status,statusUpdatedAt,statusPrevious,age,areaCode,state,recurrence,activation_date,end_portability_date,current_package,clients_duration,main_line
0cTB1wgJEAf3zipZpXr1V7nAMZv2,masculino,paused,2021-02-18,paymentFailedSubscription,29,11.0,SP,weekly,2021-01-08,,customPackage,1.0,No
0dhwXTNlmeekcbivMhqMiYO5eGd2,masculino,canceled,2020-12-31,cancelRequested,26,11.0,SP,weekly,2020-08-26,2020-08-31,customPackage,4.0,Yes
0dyvriZforUOijw6xdusivxkEDN2,masculino,canceled,2021-03-01,cancelRequested,23,11.0,SP,monthly,2020-10-07,2020-10-18,customPackage,5.0,Yes
0gWulOhs8bYBNLv5HH3VjaDnVB02,masculino,canceled,2020-12-18,cancelRequested,19,11.0,SP,weekly,2020-05-13,,customPackage,7.0,No
0iF5UUymQfZQTdRKEVoVguhlKN52,masculino,canceled,2020-12-18,cancelRequested,20,11.0,SP,weekly,2020-08-07,,customPackage,4.0,No
0jj2Cj0shnXwYCz2t2jINuwNWwv2,masculino,canceled,2021-03-07,cancelRequested,26,11.0,SP,weekly,2020-11-13,2020-11-18,customPackage,4.0,Yes
0mJfOzyjCkPUhrlvgjnSorFgcEU2,masculino,paused,2021-01-19,paymentFailedSubscription,26,11.0,SP,monthly,2020-12-17,,customPackage,1.0,No
0nsDBFiIM7ZTdKSC38kSr2bFQgI2,masculino,active,2021-03-06,paused,32,11.0,SP,monthly,2021-01-26,2021-01-29,madePackage-0,2.0,Yes
0oCpFPAu0Kgm8PkDbvQwTueoqeh2,masculino,canceled,2021-03-07,cancelRequested,32,31.0,MG,monthly,2021-01-27,,customPackage,2.0,No
0qCIU09pbdVs4J1RTkPcAWCUKVB2,masculino,canceled,2020-12-18,cancelRequested,24,16.0,SP,weekly,2020-08-03,,customPackage,4.0,No
0qw43Qp2NPY8RBSIhJTjDz6d3fs1,masculino,paused,2021-03-06,paymentFailedSubscription,51,11.0,SP,weekly,2020-12-10,,customPackage,3.0,No
0rDZcRXopAY5iIrA19dUOmvJgva2,masculino,paused,2021-03-02,paymentFailedSubscription,25,62.0,GO,monthly,2021-01-30,,customPackage,2.0,No
0skTJ2uXGyMRodt0HP9Bo4JO8C33,masculino,paused,2021-01-13,paymentFailedSubscription,27,11.0,SP,weekly,2021-01-03,,customPackage,0.0,No
0ugyg9YUm8MB7IDTza6dEpROLdO2,masculino,canceled,2020-12-31,cancelRequested,23,11.0,SP,weekly,2020-08-16,2020-08-19,customPackage,4.0,Yes
10Qc9HBq0zaAmCur6GRQAcDgYpj2,masculino,canceled,2020-12-18,cancelRequested,23,11.0,SP,weekly,2020-08-16,,customPackage,4.0,No
15ESu7JHSFZKXYxOKHGDmN2s4b93,masculino,paused,2021-02-05,paymentFailedSubscription,29,11.0,SP,monthly,2021-01-02,,customPackage,1.0,No
15z5JUMjacOiWey9mV1NNWvVb6b2,masculino,canceled,2021-01-23,cancelRequested,33,15.0,SP,monthly,2020-10-21,,customPackage,3.0,No
17djlhfuVZhp2YV3bJCTD6fPwaQ2,feminino,paused,2021-01-03,paused,21,11.0,SP,weekly,2020-12-10,,customPackage,1.0,No
1DlnVG9nzIQnn1RdyWUl9JrOJQ22,feminino,canceled,2021-02-12,cancelRequested,23,11.0,SP,weekly,2020-10-23,,customPackage,4.0,No
1G5gTY30eQhkfgxXqRfOJPTqV8l2,masculino,active,2021-02-22,paused,22,14.0,SP,monthly,2020-10-05,,customPackage,4.0,No
1GOSWWi3SgOSi2EKC4s8SNOXWeB2,feminino,canceled,2021-01-03,cancelRequested,50,16.0,SP,weekly,2020-08-17,,customPackage,5.0,No
1IfvnhJqPTM098R2JOXkwjLC9n43,feminino,paused,2021-02-15,paymentFailedSubscription,36,11.0,SP,weekly,2020-10-02,2020-10-09,customPackage,4.0,Yes
1Is92Z8mzvPEVhu7agaGBDAF2Ar2,masculino,paused,2021-02-19,paymentFailedSubscription,18,19.0,SP,monthly,2020-11-16,,customPackage,3.0,No
1KnwL3K6aocyuIboPpvADT0Gkop1,masculino,cancelRequested,2021-03-06,paused,22,11.0,SP,monthly,2020-11-04,2020-11-07,customPackage,4.0,Yes
1MEHpzYz9kcuhLoZz1nveOBVipq1,masculino,paused,2021-02-18,paymentFailedSubscription,35,11.0,SP,monthly,2020-10-27,,customPackage,4.0,No
1QYcesFuncbhbxNV9C1tGmw82YB2,masculino,canceled,2020-12-29,cancelRequested,21,16.0,SP,monthly,2020-11-15,2020-11-18,customPackage,1.0,Yes
1QuEthAMNcZwUmYsIqGmI4n0gLf1,masculino,paused,2020-12-24,canceled,44,12.0,SP,monthly,2020-10-24,,customPackage,2.0,No
1RW4vnGYJVbFoOCyDIxHJXKJj3i2,masculino,paused,2021-01-22,paused,35,62.0,GO,weekly,2020-12-17,,customPackage,1.0,No
1UxKMSKZe2ObXyJH9GUfLQMAJIA3,feminino,canceled,2020-12-18,cancelRequested,32,11.0,SP,weekly,2020-07-09,,customPackage,5.0,No
1VuLBOzxsRaBlC07SR9hfGBJcwU2,feminino,paused,2021-02-11,paymentFailedSubscription,31,62.0,GO,monthly,2021-01-08,,customPackage,1.0,No
1WUIkj3CHFTgeAv2LxJ0iJtxRMV2,masculino,paused,2020-12-09,paymentFailedSubscription,35,19.0,SP,weekly,2020-11-30,,customPackage,1.0,No
1bXA6jCfQGRpmbyY0dWYlwHSelD2,feminino,canceled,2020-12-18,cancelRequested,26,11.0,SP,weekly,2020-04-17,,customPackage,8.0,No
1cXobIvb8Te9L2pZEzCxJdjpFkj2,masculino,cancelRequested,2021-02-26,paused,35,11.0,SP,weekly,2020-09-01,,customPackage,5.0,No
1dp2JUDbXtXqLlWw3PWRb8YbCes1,masculino,paused,2021-03-05,paymentFailedSubscription,22,11.0,SP,weekly,2020-04-30,,customPackage,11.0,No
1hJqVpWFGMOmanNLLtHoKqL46BE2,masculino,canceled,2020-12-29,cancelRequested,33,12.0,SP,weekly,2020-09-02,,customPackage,3.0,No
1hlB1GJXgdYIwrRt9or0i4070X82,feminino,paused,2021-02-27,paymentFailedSubscription,41,11.0,SP,weekly,2021-01-17,,customPackage,1.0,No
1ihfPljZXDQWSR7JNP43DUbjbWk1,masculino,active,2021-03-02,cancelRequested,27,11.0,SP,monthly,2020-09-14,,customPackage,6.0,No
1jY2IOSOcNWVRY1J2W94C5IESrN2,masculino,canceled,2020-12-18,cancelRequested,25,11.0,SP,weekly,2020-08-03,,customPackage,4.0,No
1lgY1z5bBcdQyscj0JlQEgF6JOD3,masculino,paused,2021-02-24,paymentFailedSubscription,30,11.0,SP,weekly,2021-01-31,2021-02-03,customPackage,1.0,Yes
1lgrXLAnW6c0BcML5LZWirbZpjW2,masculino,canceled,2021-03-04,cancelRequested,24,19.0,SP,weekly,2020-07-29,,customPackage,8.0,No
1mG4bbGFgWcX85DqJY1NWAJRAGQ2,masculino,canceled,2021-02-19,cancelRequested,27,11.0,SP,weekly,2020-10-21,2020-12-09,customPackage,4.0,Yes
1mrXs2Bf8Uhzm7Z1wMhuuEZ07L53,masculino,canceled,2021-01-09,cancelRequested,32,13.0,SP,weekly,2020-08-03,2020-08-06,customPackage,5.0,Yes
1mwaDcLlSCTP3ig5xBlVXzCIeWu1,masculino,paused,2021-01-17,paymentFailedSubscription,34,64.0,GO,monthly,2020-12-14,,customPackage,1.0,No
1n0S4hGFMyXWkbD5p3WXylkcMz12,masculino,canceled,2020-12-31,cancelRequested,30,11.0,SP,monthly,2020-11-18,,customPackage,1.0,No
1oCv1BIln8XWbTejqOJVbubDigs1,masculino,paused,2020-12-18,paymentFailedSubscription,31,12.0,SP,weekly,2020-12-08,,customPackage,0.0,No
1ssKXo4vWBVZJWBY8u1GyaPjpfB2,masculino,canceled,2020-12-18,cancelRequested,25,12.0,SP,weekly,2020-07-30,,customPackage,5.0,No
1u6PgnzZ9vU0vZD8COlkrkUdRPs2,feminino,cancelRequested,2021-02-25,paused,46,62.0,GO,weekly,2020-11-18,,customPackage,3.0,No
1vz2IvCaxEgUsj4R7t4mikkA8dP2,feminino,paused,2021-02-12,paymentFailedSubscription,36,16.0,SP,weekly,2020-11-10,2020-12-21,customPackage,3.0,Yes
208fyeMtncWR7j1urg7J8dalQdX2,masculino,canceled,2020-12-31,cancelRequested,24,11.0,SP,weekly,2020-09-10,,customPackage,3.0,No
20QRHVSOxYa9b23MiEV0EvF707E3,masculino,canceled,2021-02-09,cancelRequested,28,11.0,SP,weekly,2020-08-29,,customPackage,6.0,No
25vj1fXhUIYH219hm7sjsmTecqe2,masculino,canceled,2020-12-18,cancelRequested,25,11.0,SP,weekly,2020-07-23,2020-07-27,customPackage,5.0,Yes
27MS5O8hxaYDDDvxfrPV476m5AD3,masculino,paused,2021-03-02,paymentFailedSubscription,21,11.0,SP,monthly,2020-10-27,2020-10-30,customPackage,5.0,Yes
27bIHTRsr7eLVmKcLIeK7cOERFD3,masculino,canceled,2020-12-31,cancelRequested,22,17.0,SP,weekly,2020-08-25,,customPackage,4.0,No
27gNTl8FmPP08Yej9lwiaCS8u132,masculino,canceled,2021-01-22,cancelRequested,21,19.0,SP,weekly,2020-10-13,,customPackage,3.0,No
2BRmHI513zbjZSvsiyJH4b7cgvt1,masculino,active,2021-02-19,paused,30,13.0,SP,monthly,2020-11-03,2021-01-14,customPackage,3.0,Yes
2C0uL3gAARMSRUDirrTXRIMS2CN2,masculino,paused,2021-02-19,paymentFailedSubscription,26,11.0,SP,weekly,2020-10-06,2020-10-16,customPackage,4.0,Yes
2CuPpHFfJcffsGiX9NCI4xxH88b2,masculino,canceled,2020-12-18,cancelRequested,30,19.0,SP,weekly,2020-09-22,,customPackage,3.0,No
2DCG57VWSsQLsVjf2yXrFi9WPim2,feminino,paused,2020-12-22,canceled,31,11.0,SP,monthly,2020-11-22,,customPackage,1.0,No
2DKHMZobD5boykcsv1nNBfSaWh63,masculino,active,2021-02-09,paused,64,16.0,SP,monthly,2020-09-29,2020-10-05,customPackage,5.0,Yes
2DYF9ynG5HfBDcBvAIpL4SZSnT52,masculino,active,2021-02-05,paused,35,14.0,SP,monthly,2020-11-24,,customPackage,3.0,No
2EkZkYceSgUStiNQzAtpHq3GLqD3,masculino,canceled,2020-12-19,cancelRequested,25,11.0,SP,monthly,2020-11-03,,customPackage,1.0,No
2I1DVNPz43eVodlfOlpfJZu8WP12,masculino,paused,2021-01-23,paymentFailedSubscription,26,15.0,SP,monthly,2020-12-21,,customPackage,1.0,No
2I4jW9RFluRLs1QvGLckW2nHVXk2,masculino,paused,2021-03-04,paymentFailedSubscription,42,62.0,GO,weekly,2020-11-25,,customPackage,4.0,No
2IraZI5hD0ZEg1AwOyKDWg8F9jI2,masculino,paused,2021-02-02,paymentFailedSubscription,30,11.0,SP,weekly,2021-01-09,,customPackage,1.0,No
2K764jrrURenSfyYqQHCN5ve9bq1,masculino,active,2021-03-02,paused,26,17.0,SP,monthly,2020-11-20,,customPackage,4.0,No
2MFawFdhDAOx2qlwJjsUqVfP4sK2,masculino,canceled,2020-12-31,cancelRequested,53,11.0,SP,weekly,2020-09-03,,customPackage,3.0,No
2MwfbNAS0NaqhzCsiWSpbnMA4982,masculino,paused,2021-01-04,paymentFailedSubscription,34,14.0,SP,weekly,2020-12-25,2021-01-06,customPackage,1.0,Yes
2NLy97lTDEWRmlPStgV5SwzavDV2,masculino,canceled,2020-12-18,cancelRequested,22,11.0,SP,weekly,2020-05-13,,customPackage,7.0,No
2O4dt0XMTYSPOz1ZUcerY9ase9G2,masculino,active,2021-02-23,paused,34,11.0,SP,monthly,2020-10-11,2020-10-18,customPackage,4.0,Yes
2T60YJC7AkehNalU6scoHuqBM192,masculino,canceled,2021-01-10,cancelRequested,20,14.0,SP,weekly,2020-09-12,2020-09-18,customPackage,4.0,Yes
2T8h6wy9hMZZCMVyhY97pSYFKjx1,masculino,paused,2021-01-18,paymentFailedSubscription,20,19.0,SP,monthly,2020-12-15,,customPackage,1.0,No
2TMS8dT93aQqEXKCQH2Cmm1Ps8p2,feminino,canceled,2021-01-26,cancelRequested,20,11.0,SP,weekly,2020-10-05,,customPackage,3.0,No
2YFBz23SCZclyVkgtrfj23SE5Ir1,masculino,canceled,2020-12-18,cancelRequested,36,19.0,SP,weekly,2020-07-17,,customPackage,5.0,No
2b3D8N75dehRcVVOeqwsdI6XTyU2,masculino,active,2021-02-26,paused,64,19.0,SP,monthly,2021-01-13,,customPackage,1.0,No
2ejSZokfbyZqRNTZ4QyPtNlACON2,masculino,canceled,2021-02-20,cancelRequested,22,64.0,GO,weekly,2020-10-29,,customPackage,4.0,No
2h9SKjym7sQL0cOcAEuFw5Wvzgk2,feminino,active,2021-02-27,paused,50,11.0,SP,monthly,2021-02-06,2021-02-11,customPackage,0.0,Yes
2mTAP5m69qQKvzhyvFT8uSSEAc42,masculino,cancelRequested,2021-03-05,paused,24,18.0,SP,weekly,2020-11-19,,customPackage,4.0,No
2mzXBDB9LhQeBIUS4UhTWAxUWJC2,masculino,canceled,2020-12-18,cancelRequested,24,14.0,SP,weekly,2020-08-07,,customPackage,4.0,No
2pjPn6CTA2a4pVhwjvqLkJCwmNi1,masculino,paused,2021-01-09,paymentFailedSubscription,26,11.0,SP,weekly,2020-10-26,,customPackage,3.0,No
2t1aCuHhg9O8b86Wj2PplV8Rp2s2,masculino,cancelRequested,2021-02-24,paused,22,62.0,GO,weekly,2020-11-03,,customPackage,3.0,No
2t2kxC8gw4RYmraSXD1dbyhQFhw1,masculino,canceled,2021-02-05,cancelRequested,19,11.0,SP,weekly,2020-07-28,,customPackage,7.0,No
2tUwF30XF7RHLn33UT25K5Zpzli1,feminino,canceled,2020-12-18,cancelRequested,23,16.0,SP,monthly,2020-11-08,2020-11-11,customPackage,1.0,Yes
2w0bxoO2dNRr0iVFhdlvdWcD8rx1,masculino,paused,2021-01-18,paymentFailedSubscription,27,61.0,DF,monthly,2020-12-15,,customPackage,1.0,No
2x2c7mgNRbRJq4j1VoF8gruoa9W2,masculino,canceled,2020-12-18,cancelRequested,28,19.0,SP,weekly,2020-10-02,,customPackage,2.0,No
30CLzTjyn2S1lS7oiskF2n9HVNt1,masculino,paused,2021-03-08,paymentFailedSubscription,21,62.0,GO,monthly,2020-11-05,,customPackage,4.0,No
386NpMQxF8hXsQpCrh91SuMVZvH2,masculino,paused,2021-03-06,paymentFailedSubscription,32,11.0,SP,weekly,2020-07-25,2021-02-04,customPackage,8.0,Yes
3J0HBuY8FlgBQjaSWAf3aUh88AZ2,masculino,paused,2021-03-07,paymentFailedSubscription,20,61.0,DF,monthly,2021-01-18,2021-01-21,customPackage,2.0,Yes
3P7BQlOcN9MdbqJN48XGTVBeU5l2,masculino,cancelRequested,2021-02-26,paused,35,11.0,SP,weekly,2020-09-10,,customPackage,5.0,No
3PddPnybIcNyWSV94HhAbr1yXdI3,feminino,canceled,2021-01-25,cancelRequested,61,19.0,SP,weekly,2020-09-28,,customPackage,4.0,No
3PhhNRB8tpObxvQpWzPTnXF22Xr1,masculino,canceled,2020-12-31,cancelRequested,33,11.0,SP,weekly,2020-09-03,,customPackage,3.0,No
3VJNUS037zYb4suHxEsxNK4gJqy1,masculino,cancelRequested,2021-03-01,paused,29,11.0,SP,weekly,2020-09-16,2020-09-21,customPackage,6.0,Yes
3VJVMATxNYUFx4OkuE6wYAOvoEH3,masculino,paused,2021-01-22,paymentFailedSubscription,25,11.0,SP,monthly,2020-12-19,2020-12-23,customPackage,1.0,Yes
3WPxSEIlTtZTpnsc2hy2sGFME1L2,feminino,paused,2021-03-04,paymentFailedSubscription,22,11.0,SP,weekly,2020-12-28,,customPackage,3.0,No
3XWEXhTIa9MJX4YkmkPUGOpghtk1,masculino,paused,2021-02-13,paymentFailedSubscription,22,11.0,SP,weekly,2020-10-23,,customPackage,4.0,No
3YCdQgL0X3hQjiua0TQklEElAt93,masculino,canceled,2021-02-25,cancelRequested,35,11.0,SP,weekly,2020-11-06,,customPackage,3.0,No
3ZV04qjMXrPKMC2paxE8qjTTEF93,masculino,canceled,2020-12-18,cancelRequested,18,14.0,SP,weekly,2020-08-04,2020-08-07,customPackage,4.0,Yes
3Zp2wuWcMGOACdMLBMrKU8eNu192,feminino,canceled,2021-03-05,cancelRequested,34,16.0,SP,weekly,2020-10-23,,customPackage,5.0,No
3aKIHtfTrneDQjYqNv9Tk9q2voq1,masculino,active,2021-02-11,cancelRequested,33,11.0,SP,monthly,2020-10-27,2021-02-19,customPackage,4.0,Yes
3d6UpUI6yKeUvDnxCO1Fyc8FVHB3,feminino,paused,2021-03-06,paymentFailedSubscription,27,14.0,SP,monthly,2021-02-04,,customPackage,1.0,No
3eCwof41TrN7Dh0aIyWVjQfVxHw1,masculino,canceled,2020-12-18,cancelRequested,26,17.0,SP,weekly,2020-08-09,,customPackage,4.0,No
3eT3IM0yKJQSSLY8mBI6dLM5JAm2,masculino,canceled,2020-12-18,cancelRequested,36,19.0,SP,weekly,2020-11-04,,customPackage,1.0,No
3fAxmhOziAYyEr9TE5WlVAa2jDE2,feminino,canceled,2021-01-07,cancelRequested,24,11.0,SP,weekly,2020-10-14,2020-10-20,customPackage,3.0,Yes
3gGfD9ELMQNteajjbs3NnIfGyZJ3,masculino,cancelRequested,2021-03-06,paused,36,19.0,SP,weekly,2020-10-22,,customPackage,5.0,No
3iDisJo3noMq1eYlEyCbnCRQMe02,feminino,paused,2021-02-07,paymentFailedSubscription,25,61.0,DF,monthly,2020-11-04,,customPackage,3.0,No
3iNsMG51fMgxFMvJiRW86VVix9f1,masculino,canceled,2021-02-18,cancelRequested,23,11.0,SP,weekly,2020-09-01,,customPackage,5.0,No
3kO7KmjI2iOsYaxKNENg97FYjnE2,masculino,paused,2021-01-13,paymentFailedSubscription,30,18.0,SP,monthly,2020-12-10,2020-12-15,customPackage,1.0,Yes
3mUfIubSuGhzcRZTwqpQ9TXciSf1,masculino,paused,2021-03-06,paymentFailedSubscription,21,12.0,SP,weekly,2021-02-24,,customPackage,1.0,No
3meMCzsjGaTyCH0WlibSyahpuPr2,masculino,canceled,2020-12-20,cancelRequested,41,19.0,SP,weekly,2020-11-13,,customPackage,1.0,No
3n71asf2DZRPgrIzJHcmtv1Iyos2,masculino,canceled,2020-12-18,cancelRequested,28,62.0,GO,monthly,2020-11-06,,customPackage,1.0,No
3r2mq0cj50Qyj7SRWTFQMfOKoUk2,feminino,paused,2021-02-28,paymentFailedSubscription,31,11.0,SP,weekly,2020-10-26,,customPackage,4.0,No
3r3P0EhvYzbzaQAS8vyoKejVYyD2,feminino,paused,2021-01-28,paymentFailedSubscription,28,11.0,SP,weekly,2020-10-06,,customPackage,3.0,No
3rNXXOBTXjOFKyExmWe2vuUmLuY2,masculino,active,2021-03-02,paused,32,18.0,SP,monthly,2020-10-19,,madePackage-0,5.0,No
3u2tZdUxrCSlfnYASYQKYFF3Yhp2,masculino,canceled,2020-12-18,cancelRequested,19,15.0,SP,weekly,2020-09-10,,customPackage,3.0,No
3w4XIcEP7TN4T4EJBCw87ATTf092,feminino,canceled,2020-12-18,cancelRequested,53,12.0,SP,weekly,2020-09-25,,customPackage,3.0,No
3wzKP25zEMeOmtg7la5wlbM8deq1,masculino,canceled,2020-12-18,cancelRequested,21,18.0,SP,weekly,2020-08-04,,customPackage,4.0,No
3x5HEqFzaSWTNgySvu1UHpIQd6E2,masculino,canceled,2020-12-18,cancelRequested,26,19.0,SP,weekly,2020-07-31,,customPackage,5.0,No
3xCcv6qWQkajJd02MOdH4lNTF5Y2,masculino,paused,2021-03-02,paymentFailedSubscription,23,14.0,SP,monthly,2020-12-11,2020-12-16,customPackage,3.0,Yes
41vYGbWHnnO4cJSoVUdDpxU8KZ32,masculino,canceled,2020-12-18,cancelRequested,24,11.0,SP,weekly,2020-07-28,,customPackage,5.0,No
41wLi8dVoAXqXBrECYBBt49l3Oi2,masculino,active,2021-03-08,paused,31,11.0,SP,weekly,2020-07-31,2020-08-05,customPackage,8.0,Yes
45DTRvWINXcUx9fdEqz44QDwac53,masculino,cancelRequested,2021-02-23,paused,26,14.0,SP,weekly,2020-08-14,,customPackage,6.0,No
45K6G2JGk4NxxLOujywNBtoJCS63,masculino,canceled,2020-12-31,cancelRequested,20,11.0,SP,weekly,2020-07-31,2020-08-05,customPackage,5.0,Yes
460Bt1IIlfcTzC0eVYp1VwaNMiq2,prefiro não dizer,canceled,2020-12-18,cancelRequested,24,11.0,SP,weekly,2020-08-04,,customPackage,4.0,No
47HLEMPnw5dMl1JdSXg4t2AQHgq1,masculino,cancelRequested,2021-03-01,paused,24,15.0,SP,monthly,2020-10-29,,customPackage,5.0,No
48HGllL33EMeihUbcv0ZQsYogvk2,masculino,canceled,2020-12-18,cancelRequested,25,11.0,SP,weekly,2020-08-01,,customPackage,4.0,No
4AcepEJ9BwOu0uVZbdthc2MXPmH3,masculino,paused,2021-02-21,paymentFailedSubscription,23,19.0,SP,monthly,2020-12-18,,customPackage,2.0,No
4BNC1wRFWbUZu6KuFFFL5MGeh9w2,masculino,paused,2021-03-08,paymentFailedSubscription,31,15.0,SP,monthly,2020-10-29,2020-11-04,customPackage,5.0,Yes
4Be6GorBXrb156xJAOdtGWD1P4a2,masculino,canceled,2021-03-06,cancelRequested,35,11.0,SP,weekly,2020-07-31,,customPackage,8.0,No
4C5oFPpCcjQO5GH6zpbvkmnmCcC2,masculino,canceled,2020-12-18,cancelRequested,20,19.0,SP,weekly,2020-10-22,,customPackage,2.0,No
4CMjNlJypXQcp3POrxac5Vh4GZ02,masculino,canceled,2020-12-18,cancelRequested,24,19.0,SP,weekly,2020-08-05,,customPackage,4.0,No
4D8yzrT7tkayaduvrtlIlCW41Jc2,masculino,active,2021-03-08,paused,19,15.0,SP,monthly,2020-12-28,,customPackage,3.0,No
4HA1AZAf3kWAT5Hm1MZxpqyVlG53,feminino,canceled,2021-01-05,cancelRequested,21,11.0,SP,weekly,2020-08-28,2020-09-02,customPackage,5.0,Yes
4OE3l3JpsnRo5mLPc6dMhOEvLSg1,masculino,canceled,2020-12-18,cancelRequested,27,11.0,SP,weekly,2020-08-03,,customPackage,4.0,No
4Opc2bjqkqRz8melWa6n8ghuiKe2,masculino,paused,2020-12-21,canceled,24,15.0,SP,monthly,2020-10-14,,customPackage,2.0,No
4TNt3m9XlURTvEbqbT8SB5QSN8P2,masculino,paused,2021-01-13,canceled,24,11.0,SP,weekly,2020-07-29,,customPackage,6.0,No
4VziFrF440Ov1AT8u6nWkvCky8C2,feminino,active,2021-03-01,paused,34,62.0,GO,monthly,2020-11-03,2020-11-06,customPackage,4.0,Yes
4XTFgXc2GsN2Yn4WWfFvVCEhiVt1,masculino,canceled,2020-12-31,cancelRequested,26,19.0,SP,weekly,2020-08-25,,customPackage,4.0,No
4ZowTIXNm7aK0nmi9cLaNYE6M343,feminino,canceled,2020-12-18,cancelRequested,32,11.0,SP,weekly,2020-06-26,,customPackage,6.0,No
4aqogRjr5vciiuWMhZqaLdApmCe2,feminino,paused,2021-01-18,paymentFailedSubscription,42,11.0,SP,weekly,2020-07-02,,customPackage,6.0,No
4fvnoRk5gHdEpEJcOhgZ73V1GRG3,masculino,cancelRequested,2021-03-02,paused,32,34.0,MG,weekly,2021-02-09,,customPackage,1.0,No
4g4pMvPrTMYp26a1byR2FjrPHvx1,feminino,canceled,2021-02-08,cancelRequested,26,11.0,SP,monthly,2020-11-27,2020-12-02,customPackage,3.0,Yes
4hYf676D24ZX3cSOW8TosP9refA3,masculino,paused,2020-12-31,canceled,21,19.0,SP,monthly,2020-09-23,2020-09-28,customPackage,3.0,Yes
4ha4Gj9aCmfRgbpKu6cfUslxWon1,masculino,paused,2021-01-07,paymentFailedSubscription,20,13.0,SP,monthly,2020-12-04,,customPackage,1.0,No
4jqHm3rMSUcVl95e6gBKckQ7Qo93,masculino,active,2021-02-20,paused,39,11.0,SP,monthly,2020-10-30,,madePackage-0,4.0,No
4loYQZ2wZwSHCx4DY18OPonM6Qu2,masculino,canceled,2020-12-18,cancelRequested,18,13.0,SP,weekly,2020-07-31,,customPackage,5.0,No
4onPrker52RUaUU1eNWXFG3Krl03,masculino,paused,2021-03-04,paymentFailedSubscription,35,16.0,SP,weekly,2021-01-04,,customPackage,2.0,No
4rb4JzJq63Uhiia49N6IGM7GqA83,masculino,canceled,2021-02-26,cancelRequested,22,11.0,SP,weekly,2020-11-04,,customPackage,3.0,No
4veK7rOYqIc1XXYJoQMoIOpWHKr1,masculino,canceled,2021-02-20,cancelRequested,63,11.0,SP,weekly,2020-08-03,2020-08-06,customPackage,6.0,Yes
4yZblPxtFoTz7SSHVN9jZBJMXTb2,masculino,paused,2021-01-23,paymentFailedSubscription,28,19.0,SP,weekly,2020-11-05,,customPackage,2.0,No
4zshKiCBCbhLLhJxP5Ly8QsX7MD2,masculino,canceled,2020-12-18,cancelRequested,21,17.0,SP,weekly,2020-07-30,2020-08-04,customPackage,5.0,Yes
